------------------------------------------------------------
 Electron Density
------------------------------------------------------------
Distance (nm), Carrier Density (/cm3)
               7.465,                    0
               7.478,                    0
               7.491,                    0
               7.504,                    0
               7.517,                    0
                7.53,                    0
               7.543,                    0
               7.557,                    0
                7.57,                    0
               7.583,                    0
               7.597,                    0
                7.61,                    0
               7.623,                    0
               7.637,                    0
                7.65,                    0
               7.664,                    0
               7.677,                    0
               7.691,                    0
               7.705,                    0
               7.718,                    0
               7.732,                    0
               7.746,                    0
               7.759,                    0
               7.773,                    0
               7.787,                    0
               7.801,                    0
               7.815,                    0
               7.829,                    0
               7.843,                    0
               7.857,                    0
               7.871,                    0
               7.885,                    0
               7.899,                    0
               7.914,                    0
               7.928,                    0
               7.942,                    0
               7.956,                    0
               7.971,                    0
               7.985,                    0
                   8,                    0
               8.014,                    0
               8.029,                    0
               8.043,                    0
               8.058,                    0
               8.073,                    0
               8.087,                    0
               8.102,                    0
               8.117,                    0
               8.132,                    0
               8.146,                    0
               8.161,                    0
               8.176,                    0
               8.191,                    0
               8.206,                    0
               8.221,                    0
               8.236,                    0
               8.252,                    0
               8.267,                    0
               8.282,                    0
               8.297,                    0
               8.313,                    0
               8.328,                    0
               8.343,                    0
               8.359,                    0
               8.374,                    0
                8.39,                    0
               8.405,                    0
               8.421,                    0
               8.437,                    0
               8.452,                    0
               8.468,                    0
               8.484,                    0
                 8.5,                    0
               8.516,                    0
               8.531,                    0
               8.547,                    0
               8.563,                    0
               8.579,                    0
               8.596,                    0
               8.612,                    0
               8.628,                    0
               8.644,                    0
                8.66,                    0
               8.677,                    0
               8.693,                    0
                8.71,                    0
               8.726,                    0
               8.743,                    0
               8.759,                    0
               8.776,                    0
               8.792,                    0
               8.809,                    0
               8.826,                    0
               8.843,                    0
               8.859,                    0
               8.876,                    0
               8.893,                    0
                8.91,                    0
               8.927,                    0
               8.944,                    0
               8.961,                    0
               8.979,                    0
               8.996,                    0
               9.013,                    0
                9.03,                    0
               9.048,                    0
               9.065,                    0
               9.083,                    0
                 9.1,                    0
               9.118,                    0
               9.135,                    0
               9.153,                    0
               9.171,                    0
               9.188,                    0
               9.206,                    0
               9.224,                    0
               9.242,                    0
                9.26,                    0
               9.278,                    0
               9.296,                    0
               9.314,                    0
               9.332,                    0
                9.35,                    0
               9.368,                    0
               9.387,                    0
               9.405,                    0
               9.424,                    0
               9.442,                    0
                9.46,                    0
               9.479,                    0
               9.498,                    0
               9.516,                    0
               9.535,                    0
               9.554,                    0
               9.573,                    0
               9.591,                    0
                9.61,                    0
               9.629,                    0
               9.648,                    0
               9.667,                    0
               9.687,                    0
               9.706,                    0
               9.725,                    0
               9.744,                    0
               9.764,                    0
               9.783,                    0
               9.802,                    0
