ElectrostaticPotential_Vg=0.15V X,ElectrostaticPotential_Vg=0.15V Y,ElectrostaticPotential_Vg=0.3V X,ElectrostaticPotential_Vg=0.3V Y,ElectrostaticPotential_Vg=0.45V X,ElectrostaticPotential_Vg=0.45V Y,ElectrostaticPotential_Vg=0.6V X,ElectrostaticPotential_Vg=0.6V Y,ElectrostaticPotential_Vg=0V X,ElectrostaticPotential_Vg=0V Y
0.0056139166,0.1634337,0.0056139166,0.30507332,0.0056139166,0.44399123,0.0056139166,0.57215831,0.0056139166,0.021349646
0.0056250002,0.16280783,0.0056250002,0.3046888,0.0056250002,0.44392608,0.0056250002,0.57272066,0.0056250002,0.02049522
0.0056920415,0.15905907,0.0056920415,0.30238754,0.0056920415,0.44354502,0.0056920415,0.57612853,0.0056920415,0.015375983
0.0057031251,0.15843242,0.0057031251,0.30200253,0.0057031251,0.44347968,0.0057031251,0.57669084,0.0057031251,0.014520499
0.0057701664,0.15467997,0.0057701664,0.29969897,0.0057701664,0.44309773,0.0057701664,0.58009855,0.0057701664,0.0093962285
0.0057812501,0.1540527,0.0057812501,0.29931357,0.0057812501,0.44303224,0.0057812501,0.58066083,0.0057812501,0.0085399046
0.0058482913,0.15029752,0.0058482913,0.29700831,0.0058482913,0.44264964,0.0058482913,0.58406842,0.0058482913,0.0034119263
0.005859375,0.1496698,0.005859375,0.29662263,0.005859375,0.44258404,0.005859375,0.58463068,0.005859375,0.0025549834
0.0059264163,0.14591286,0.0059264163,0.29431628,0.0059264163,0.44220101,0.0059264163,0.5880382,0.0059264163,-0.0025753788
0.0059374999,0.14528484,0.0059374999,0.29393041,0.0059374999,0.44213534,0.0059374999,0.58860045,0.0059374999,-0.0034327198
0.0059911329,0.14227874,0.0059911329,0.29208498,0.0059911329,0.44182879,0.0059911329,0.59132643,0.0059911329,-0.0075377723
0.0060000001,0.14177623,0.0060000001,0.29177623,0.0060000001,0.44177623,0.0060000001,0.59177623,0.0060000001,-0.0082237725

