Surface Bias =  -0.50711517, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000028,   2.01096200, 16485665248481181696.00000000 
  0.00000029,   1.73038663, 12736316962907908096.00000000 
  0.00000030,   1.45751194, 9533350780968984576.00000000 
  0.00000031,   1.19732183, 6896443402109557760.00000000 
  0.00000032,   0.95376856, 4801778319521500160.00000000 
  0.00000033,   0.73008140, 3196043798156588032.00000000 
  0.00000034,   0.52916461, 2009805849667715584.00000000 
  0.00000035,   0.35405254, 1168746338911120640.00000000 
  0.00000036,   0.20838205, 602101273564624128.00000000 
  0.00000037,   0.09680646, 248350999971504672.00000000 
  0.00000038,   0.02517370, 58771288111908328.00000000 
  0.00000039,   0.00000000,   0.00000000 
